Algorithm,Data,Clusters,Runtime,Runtime_per_Iter,Runtime_speedup_km,Runtime_speedup_bkm,Distances,Dist_speed_up,Timeout
Kmeans,Census,30,532.299988,106.459999,0,0,7868628,0,no
Kmeans-d,Census,30,443.600006,88.720001,1.199955,4.816952,1624226,4.84454,no
Ball-Kmeans,Census,30,2136.800049,427.360016,0.249111,1,3191343,2.465616,no
Kmeans,Census,50,742.5,148.5,0,0,11305500,0,no
Kmeans-d,Census,50,631.400024,126.280006,1.175958,2.474343,2485040,4.549424,no
Ball-Kmeans,Census,50,1562.300049,312.460022,0.475261,1,4020819,2.811741,no
Kmeans,Census,60,909.900024,181.980011,0,0,13837933,0,no
Kmeans-d,Census,60,788.799988,157.759995,1.153524,2.076065,2952545,4.686781,no
Ball-Kmeans,Census,60,1637.599976,327.519989,0.55563,1,4703294,2.942179,no
Kmeans,Census,80,1177.400024,235.480011,0,0,18450576,0,no
Kmeans-d,Census,80,1004.099976,200.819992,1.172592,1.615875,3867476,4.770702,no
Ball-Kmeans,Census,80,1622.5,324.5,0.72567,1,5722497,3.224218,no
Kmeans,Crop,30,10347,940.636353,0,0,110777088,0,no
Kmeans-d,Crop,30,10405.7002,945.972717,0.994359,7.976167,13273329,8.34584,no
Ball-Kmeans,Crop,30,82997.60156,7545.236328,0.124666,1,40255972,2.751817,no
Kmeans,Crop,50,18318.59961,1526.549927,0,0,203894048,0,no
Kmeans-d,Crop,50,18736.59961,1561.383301,0.977691,3.504104,20139724,10.123974,no
Ball-Kmeans,Crop,50,65655,5471.25,0.279013,1,59536852,3.42467,no
Kmeans,Crop,60,21689.90039,1807.491699,0,0,244672864,0,no
Kmeans-d,Crop,60,22348.5,1862.375,0.97053,2.600787,23335912,10.484821,no
Ball-Kmeans,Crop,60,58123.69922,4843.641602,0.373168,1,66076744,3.702859,no
Kmeans,Crop,80,31109.19922,2393.015381,0,0,354486688,0,no
Kmeans-d,Crop,80,32215,2478.076904,0.965674,1.697619,30162964,11.752382,no
Ball-Kmeans,Crop,80,54688.80078,4206.831055,0.56884,1,83048704,4.268419,no
Kmeans,Twitter,30,896613.3125,8966.132812,0,0,1767247488,0,no
Kmeans-d,Twitter,30,757723.6875,7577.236816,1.183298,2.3571,79366000,22.267059,no
Ball-Kmeans,Twitter,30,1786030.75,21780.86328,0.502015,1,283065696,6.243241,yes
Kmeans,Twitter,50,1451841.75,14518.41797,0,0,2945412608,0,no
Kmeans-d,Twitter,50,1420208.125,14202.08106,1.022274,1.271731,91476304,32.198639,no
Ball-Kmeans,Twitter,50,1806122.625,22297.81055,0.803845,1,407760000,7.223398,yes
Kmeans,Twitter,60,1744898,17448.98047,0,0,3534494976,0,no
Kmeans-d,Twitter,60,1740760,17583.43359,1.002377,1.038387,97374136,36.298088,no
Ball-Kmeans,Twitter,60,1807583.25,22594.79102,0.965321,1,465726208,7.589212,yes
Kmeans,Twitter,80,1814403.625,23261.58398,0,0,3709469952,0,yes
Kmeans-d,Twitter,80,1809125.625,27410.99414,1.002917,1.000518,88936560,41.709167,yes
Ball-Kmeans,Twitter,80,1810063.625,23205.94336,1.002398,1,593397632,6.251238,yes
Kmeans,Birch,30,4319.700195,130.900009,0,0,99000000,0,no
Kmeans-d,Birch,30,711.700012,21.566668,6.069552,10.924265,6265351,15.801189,no
Ball-Kmeans,Birch,30,7774.799805,235.599991,0.555603,1,7218448,13.714859,no
Kmeans,Birch,50,16619.19922,207.73999,0,0,401500000,0,no
Kmeans-d,Birch,50,1787.5,22.34375,9.297454,4.539189,13114883,30.614075,no
Ball-Kmeans,Birch,50,8113.799805,101.422501,2.048263,1,11611740,34.577076,no
Kmeans,Birch,60,19244.90039,246.729492,0,0,471600032,0,no
Kmeans-d,Birch,60,1828.400024,23.144304,10.525541,4.29627,14114643,33.412113,no
Ball-Kmeans,Birch,60,7855.299805,100.708969,2.449926,1,12881577,36.610428,no
Kmeans,Birch,80,29984.90039,325.922821,0,0,744000000,0,no
Kmeans-d,Birch,80,2428.800049,26.4,12.345562,3.734149,17571762,42.34066,no
Ball-Kmeans,Birch,80,9069.5,98.58152,3.306125,1,17451788,42.631737,no